,business_id,bet_eli,degree_eli,deg_cen_eli,clo_eli,cluster_eli,eigen_eli,k_core_eli,avg_n_d_eli,open_eli
37,sX4vfJHfs5rnvXIvLO_XxA,0.000535084,921,0.344556678,0.60270575,0.595682859,0.030122052,507,840.9533116,TRUE
38,_OMHnjSbCW9T-PqHkdW4Kw,0.000420347,570,0.213243547,0.557455683,0.537101101,0.015816623,360,732.1929825,TRUE
39,QDSglFL1gBvUqZk8XPSbPg,3.62E-05,159,0.059483726,0.510894495,0.59605127,0.004578052,139,763.4779874,TRUE
40,RmjkYtIOF5QreAVIKx2AVg,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
41,PkPcOZh1tQfQUV6bJRTrng,0.002584543,1413,0.528619529,0.678598629,0.388615226,0.039474458,507,706.5789101,TRUE
42,g1WjHTgcJCiBqz9sSROiew,0.002151422,1301,0.486719042,0.659348791,0.427348194,0.037953386,507,736.4235204,TRUE
43,H_078vQVM4cNA_hZSme5gA,0.000218566,520,0.194537972,0.551702786,0.623810582,0.016301359,374,823.3961538,TRUE
44,3nNGmYNOP9WSB3pa8oFz6A,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
45,SuFx7otHdR-8nLw2sxkY0w,0.000619412,914,0.341937897,0.601620527,0.595662938,0.029769219,507,837.4157549,TRUE
46,YeikVsEAY-YRfWTpUCzqrw,2.86E-05,118,0.044145155,0.505293006,0.667680719,0.003056209,96,698.6271186,TRUE
47,0_CG2HJGjGAgyxVKlBgLGg,5.18E-05,213,0.079685746,0.516621569,0.630303836,0.006482148,180,811.3802817,TRUE
48,4EQEcYHR-aa7jfNA1LsCJA,0.000237296,635,0.237560793,0.565834039,0.614406717,0.019387163,392,798.0661417,TRUE
49,m0yOk-81jhCxUXy4_hqMpw,0.002041775,1343,0.502431725,0.666749813,0.419174103,0.038891811,507,733.889799,TRUE
50,vlNJulw7ObuJi_lY88TsBw,0.006000597,1295,0.484474373,0.65918619,0.408458403,0.037022981,507,722.9027027,TRUE
51,lYNVfn3o7tTqSAPTaBLAWA,0.007102403,1674,0.626262626,0.727742989,0.333836797,0.043717,507,662.7783751,TRUE
52,xFz5u2Tgv1RYmqYZ9kUFFQ,0.002370069,1493,0.558548447,0.693025668,0.388350282,0.041835039,507,708.8379102,TRUE
53,EDEZNi_8fgQnQK7U98pCeA,8.99E-05,241,0.090160868,0.519937755,0.727593361,0.0078494,211,852.1161826,TRUE
54,0QYuVCPx68s9tT4w1JBCDg,3.16E-07,77,0.028806584,0.499626168,0.980177717,0.001971788,76,685.4155844,TRUE
55,gBJkm5lDB1sjSibaYo0gPA,0.000240766,518,0.193789749,0.551588939,0.638006617,0.01516567,362,772.7316602,TRUE
56,BP6audhs1USL9w5xUk1NpQ,0.000221577,492,0.184062851,0.547633682,0.800390774,0.013325139,421,739.8252033,TRUE
57,U68ltYHcTihkeHuff08vwA,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,FALSE
58,qKveGgmo0xRqNVf60ww3_g,0.003041065,1673,0.625888515,0.72675367,0.350163875,0.044895004,507,678.0591751,TRUE
59,vqt2i3rfprEtqXDRHM1Xgw,0.00099396,1004,0.375607931,0.614200368,0.464975591,0.029476307,421,761.4173307,TRUE
60,MdikV2_TNKgrPkcsG4g6Uw,0.001026971,1042,0.389824168,0.619897959,0.498140537,0.032006324,507,777.3291747,TRUE
61,3WNy4woyh9Ih2wr9UcCo0w,0.003888894,1689,0.631874299,0.729929001,0.332596758,0.043974223,507,662.5328597,TRUE
62,WxU24RyxLJ_J6w3EgDCOAQ,4.82E-05,260,0.097268986,0.521968366,0.758122958,0.008361693,222,856.0884615,TRUE
63,SN1L-KXqso9NzjEaw2LKHg,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
64,_pSMw2yZVUI_VGdUYT2Siw,0.002297111,1408,0.526748971,0.678082192,0.411829852,0.040688581,507,729.3806818,TRUE
65,ea1oDRrNCpEFGeAPmwgbiw,0.000423926,629,0.235316124,0.564758082,0.535528035,0.017995972,380,754.4864865,TRUE
66,8JNqUTrXATJyNet8kL85Qg,0.000162912,444,0.166105499,0.543292683,0.670611921,0.013572043,332,809.9572072,TRUE
67,gPOBhJ_Brqt-OOdYhoXhlw,0.001827136,1316,0.492330715,0.662453532,0.419944064,0.037756033,507,724.8282675,TRUE
68,sLlTnKb_RtiJcUcVKesJxg,5.76E-05,225,0.084175084,0.517221362,0.698412698,0.006307287,194,754.5511111,TRUE
69,KHHWnksByK98R5iH8irYDw,0.001106558,1138,0.42573887,0.634013283,0.471627769,0.0344318,507,762.6493849,TRUE
70,QmTGCPfHt2L7Og9W7XnOMA,0.000579052,970,0.362888141,0.609439124,0.55530731,0.031552976,507,818.6628866,TRUE
71,g054F0-_WB-J3aufvR9XBA,0.003312407,1617,0.604938272,0.715662651,0.349012963,0.042887613,507,669.2319109,TRUE
72,5oBjSVmqMbvawqMUVzt5zQ,0.000496234,902,0.33744856,0.600269481,0.608712665,0.030593615,507,851.5232816,TRUE
73,RpncyC1M8qP8vUcziTQ_pA,5.11E-05,184,0.068836513,0.513051823,0.659598479,0.004681031,150,680.2771739,FALSE
74,6TR6mvRwfmvW6A77j3sllg,0.007323692,1915,0.716423494,0.778392545,0.305956659,0.04812567,507,641.0360313,TRUE
75,aIC7pT6HVkhzC6-DI4bKKw,0.000980774,1131,0.42312009,0.633112269,0.491079239,0.034997989,507,784.9151194,TRUE
76,hf-9dAwfK0uBuScm3pjVOQ,0.000180066,422,0.157875047,0.540327471,0.723587486,0.013362118,328,830.2962085,TRUE
77,V9mkm2Y2U_vgbGq1ZjSd8A,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
78,wqpvmjFDowlvO2RNA2K4yg,0.001685083,1384,0.517770296,0.67397882,0.429915907,0.040027211,507,740.6278902,FALSE
79,leVQEr9ikXKc6dRX8aplZA,0.000211454,851,0.318368874,0.593209055,0.659113845,0.028933705,507,873.4594595,TRUE
80,pr048zBSuTyt4gpeJxF2rQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
81,aEiyiMzP9MI4TiQFyiYM7A,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
82,Q6VljjohsenvLnMOzxsF2w,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
83,8RXIwWR34JunHKd00UU4wA,0.000515743,706,0.264122709,0.574468085,0.578281398,0.020700849,421,787.2563739,TRUE
84,rKcJ1s9OirlgyIcWloZQSg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
85,xJsKo_JSd4WWsK2dvJfvew,0.000105051,658,0.246165357,0.5679983,0.708914519,0.018604534,421,756.5075988,TRUE
86,yHMvxCZO8bL7mGnk_jDd7g,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
87,WEWijh6QIZFlAqHjcPAdGw,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
88,pWwQNnIAyiVHp80y9m73ng,0.000362623,624,0.233445567,0.562973884,0.623513191,0.017233102,421,744.3894231,TRUE
89,fW9-kItQjNgKah9uF_-bSw,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
90,nPWXDDsQdbvPArIwtY4hAQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
91,BChfI9fwiiktn0io8p2AHQ,0.000459987,1036,0.387579499,0.619036591,0.564409751,0.033073875,507,819.8301158,FALSE
92,F581rqv-78A6ytcFa8_MBw,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
93,_xpo1nglnZXFcILW-4xMhw,0.00011121,643,0.240553685,0.566673733,0.699083831,0.019159675,421,792.81493,TRUE
94,_QytfyobG1DP1cvt56lyLQ,0.000372695,1015,0.379723158,0.616040562,0.576424636,0.032598125,507,824.8236453,TRUE
95,AJhUZyDSV903ybDTKUQaBQ,0.000536188,904,0.338196783,0.6,0.52923882,0.027044542,421,788.3152655,TRUE
96,HJL2qDJ_QjGkB6P2F3AVDQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
97,tnfuY_AloAPO01zr8IHVCQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
98,BMUEZEL9FoW0diGJf70MTw,0.003911992,1824,0.682379349,0.758513053,0.335420456,0.048057394,507,669.6008772,TRUE
99,adI9IbzJURExyW70VlPM-Q,0.00073976,1059,0.396184063,0.622351572,0.539387838,0.03384962,507,819.8319169,TRUE
100,6qhU8s192K0_qM7N3dEEjw,0.000799665,842,0.315001871,0.592026578,0.524661005,0.023716425,421,756.4239905,TRUE
101,6KxgrcAdn90WBESSAeF-Vg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
102,XJNjqOSZtylt9Z4zVAM3mQ,0.000105051,658,0.246165357,0.5679983,0.708914519,0.018604534,421,756.5075988,TRUE
103,L2g-uehAggLddHkd2xHZYQ,0.000144476,588,0.219977553,0.558387299,0.69885501,0.017145404,421,788.9013605,TRUE
104,8DL_C5yvyV2DLD71VnGNEA,0.000180188,676,0.252899364,0.570422535,0.68509314,0.019110247,421,755.6183432,TRUE
105,TD93tTmCi3zFdeWR6Ckj5Q,0.002713451,1512,0.565656566,0.696637998,0.360837982,0.039900661,421,685.2043651,TRUE
106,lI7YrwtT8JtuSCl6UftVJA,0.001571696,1391,0.520389076,0.674829588,0.425091415,0.040407461,507,742.6506111,TRUE
107,ckhP2IZvr1ah6VuLRwB7Cw,0.000200108,691,0.258511036,0.571887035,0.645911198,0.020934602,421,807.8248915,TRUE
108,Jc7oa2TSOIzixo0PsHqKdw,0.000105051,658,0.246165357,0.5679983,0.708914519,0.018604534,421,756.5075988,TRUE
109,P5YWS9hdEWjES4-KyBxNqw,0.00011121,643,0.240553685,0.566673733,0.699083831,0.019159675,421,792.81493,FALSE
110,nhKVwGPmDjMDTOygMh1Rqg,0.000355868,704,0.263374486,0.574468085,0.613466636,0.020066285,421,768.5184659,TRUE
111,oD8lhBJotqCU1lSj4B3I9Q,0.001931541,1357,0.507669285,0.668751564,0.430474128,0.039696498,507,748.907885,TRUE
112,koMQOryl4nZv9oaG59TdnA,0.000984857,1148,0.429479985,0.635671819,0.458737989,0.032800532,421,749.5017422,TRUE
113,X9SajoAklDnFKVlkM6ZjtA,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
114,NpxPGRlhSl2gdDMqqjC1_w,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
115,94Umbe8C2tfnn-pUuDC_EQ,0.000102116,443,0.165731388,0.541312272,0.927887807,0.012231893,421,753.6004515,FALSE
116,fd4D-4eIZ94-F40at4G23Q,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
117,sODzYk50hByJuupXLW2cYQ,0.000461381,1002,0.374859708,0.613918236,0.578435537,0.032675611,507,834.3343313,FALSE
118,KxoXUVRwUcfSqqOA68OULg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
119,9u53ZXw2dl5BZ8qpYoWDDQ,0.000105051,658,0.246165357,0.5679983,0.708914519,0.018604534,421,756.5075988,TRUE
120,tHLEoHBZtjH1G_ONnKwRNg,0.000300923,643,0.240553685,0.566073698,0.638488782,0.018044567,421,758.5085537,TRUE
121,aFVO6hoFlOCN8pKsmJbWjw,0.000510939,664,0.248410026,0.568723404,0.613190318,0.018879993,421,765.7545181,TRUE
122,VxbK-VANsEOzqxTh_GzvzQ,0.001010033,1030,0.38533483,0.618034682,0.452763075,0.028713963,421,734.5864078,TRUE
123,dKe3N7pvs5lr0J1uGO45bg,0.000971272,743,0.277964834,0.578822001,0.554675625,0.021024328,421,760.6204576,TRUE
124,WF8gD7D9loI3CIKgUj1msA,0.0002233,708,0.264870932,0.573851438,0.639289111,0.021190798,421,797.2161017,FALSE
125,9JuTbs5s3WWm-_TUzAXguQ,0.000619443,1098,0.410774411,0.628054511,0.529519986,0.034357477,507,804.9462659,TRUE
126,ZwmO1QOjsKYSN-0ZNctChQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
127,OQFCVAIrw6eqtRhK3ZB0MA,0.001221407,1186,0.443696221,0.641776711,0.447254538,0.034137239,421,748.3625632,TRUE
128,POTGUAjI5Ag9zRrDNgSVOA,0.003781641,1562,0.58436214,0.705277045,0.357892155,0.041891485,507,687.7535211,TRUE
129,nTeqPZvTNTjxpC2hu_PlMw,0.000481393,971,0.363262252,0.609717153,0.570921677,0.031390661,507,830.5355304,TRUE
130,Z_JgDZvr0Insk_fsG9ZNIg,0.001289105,1093,0.408903853,0.627464789,0.495990134,0.033248184,507,782.3193047,TRUE
131,_31B--Q8eNp8ZLQ8bJabOw,0.000767972,948,0.354657688,0.606122449,0.497656379,0.027325994,421,759.778481,TRUE
132,u0NkAGi8xYpXfL0dJeSKSw,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
133,t6JgEAAZ_RZO_4El1SxO9w,0.000627346,890,0.332959222,0.598656215,0.515071852,0.024656933,421,737.3842697,TRUE
134,IkF2jVhWfJhWRqXMxPClvg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
135,pM4RA9OXTsJn7cR9ilsmQA,1.50E-05,424,0.15862327,0.538802661,0.988614568,0.011673345,421,754.1768868,TRUE
136,RWNswNz1ZeU_T1whHYRtUQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
137,ByoPCUfRROwAMQIK0_MJ2g,0.000175443,582,0.217732884,0.55733945,0.678939617,0.016166849,421,753.137457,TRUE
138,IQ8XyKw0hVpqCAe4JQIbTQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
139,PggQtxIbE2VeBfr4fvl64A,0.000181225,537,0.200897868,0.553072626,0.725708052,0.014639491,421,742.5232775,TRUE
140,p_oxDFf0LfGveBYwwfvDqA,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
141,v5eVt9Goj_arGCV_aGxRog,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
142,a0eCMIykBRDUYsf9kTXRPw,2.73E-05,434,0.162364385,0.540327471,0.95626909,0.011958356,421,753.8824885,TRUE
143,0avjCQRA5Z2f_AuzXyILSQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
144,gY9DuGKGWCOnMbBoAKsg_w,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
145,SOj11p3EuLhOGcFh4NfmLQ,0.000144092,583,0.218106996,0.55850397,0.707396863,0.017540005,421,809.219554,FALSE
146,pVILmSOfD23XODJPH0Ri3w,0.000326799,661,0.247287692,0.567877629,0.606331087,0.018664332,421,762.3706505,FALSE
147,KJBmMzFGOZpO8dh9J_6UQQ,0.000220822,732,0.273849607,0.577821012,0.619467307,0.021946438,421,795.6584699,FALSE
148,bYVw4AB5Y7plyqxAJgSi5w,0.002937611,1468,0.54919566,0.688385269,0.369075148,0.039415389,421,696.986376,TRUE
149,dK4NcmoZVuHSoHue9P28Aw,0.000419632,885,0.331088664,0.597719141,0.551269269,0.026012621,421,779.0723164,TRUE
150,#NAME?,0.000135673,550,0.205761317,0.554104478,0.721768505,0.015168103,421,750.8072727,TRUE
151,E1TX-H1jXfhdvFKn4WqpZg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
152,S1AU4zX-NbgHVnZTexCC-w,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
153,DHKvQBI8SJUFwB56epC89A,0.000129864,562,0.210250655,0.555832813,0.713481899,0.015682203,421,758.7206406,TRUE
154,YdDDIUCAyUx87lcqma_eyg,0.000241257,824,0.308267864,0.589805825,0.599712159,0.023966797,421,767.6165049,FALSE
155,VvaY4D5bjNjlDXS0AFrOyQ,0.000437592,869,0.325102881,0.595455558,0.541082233,0.024717129,421,757.8250863,TRUE
156,AbaPftAjfsk55PY_ld_Hdg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
157,MDCVmqm2-RuCcyHbV4jniw,0.00011121,643,0.240553685,0.566673733,0.699083831,0.019159675,421,792.81493,TRUE
158,TWup5-5kTiFzwGorqfGShw,0.000107875,659,0.246539469,0.568119022,0.707067446,0.01861234,421,755.6494689,TRUE
159,qBEtVZ5paJYxjpt-0Su8Hw,0.00207534,1455,0.544332211,0.6855604,0.396545612,0.040856832,507,718.7017182,TRUE
160,NY4Uv_5HQzR-75CoT2M5qw,1.87E-06,423,0.158249158,0.538694075,0.993131884,0.011673372,421,756.5981087,TRUE
161,cbISy3SxwjnfJ5HQXMi8Iw,0.000305571,754,0.28208006,0.580204037,0.602319282,0.020934167,421,741.5862069,TRUE
162,FJEmhHscOm_oA1RjkfWfCg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
163,UuCF0SOBOVfthijFXworGQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
164,TwCN5r16Jl_BUfIDDc0GCg,0.000105051,658,0.246165357,0.5679983,0.708914519,0.018604534,421,756.5075988,TRUE
165,ZhCGnBK8yuP0US0bp1S04w,9.90E-05,513,0.191919192,0.549321825,0.775584795,0.014227732,421,754.2475634,TRUE
166,jUK2AD4fmL4cVROtSxQZTQ,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
167,EC5-kzeSpr3qJ0MsgWkE7g,0.00053466,1043,0.390198279,0.620041754,0.552530994,0.033381497,507,823.8341323,TRUE
168,7SZcGotALAy3D5w72Vdfzg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
169,Ak6-4xLXDDhiWZKPTPxC3g,0.00020793,602,0.225215114,0.560847671,0.658188733,0.017036294,421,767.6212625,TRUE
170,8riAdu4hZIGIZ-J87ZUQzQ,0.000544786,1001,0.374485597,0.613918236,0.562699301,0.03209225,507,825.5874126,FALSE
171,IxE1-n6xZTFBkCkT1E-rvw,0.001270942,1327,0.496445941,0.664264414,0.444855143,0.038912525,507,749.8221552,TRUE
172,nL29nIDKgd3zHvA91eS5oA,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
173,dwA1xZctBTqYzcvTUwc6Zw,0.002040363,1304,0.487841377,0.660652496,0.405840227,0.035682791,421,712.9294479,TRUE
174,mRIy8IGiBDXEpcniJ1Oa7w,0.000187328,633,0.23681257,0.564281191,0.667891495,0.018867371,421,801.4296998,TRUE
175,j6SplVQOlP8EopmVc3DMLA,0.000887003,1022,0.382341938,0.616893607,0.470748336,0.029153912,421,751.5606654,TRUE
176,rREUhvvxPfWoqmUup7CqAw,0.00011121,643,0.240553685,0.566673733,0.699083831,0.019159675,421,792.81493,TRUE
177,6prEZT6HO4SsddaeCFSmpw,0.00028808,758,0.283576506,0.581213307,0.597013625,0.022657918,421,791.0158311,TRUE
178,ZfJcqm6k8LfsgzfgrWbLjA,1.87E-06,423,0.158249158,0.538694075,0.993131884,0.011673372,421,756.5981087,TRUE
179,v2m7wcSAI_Z6iObVH0Bp0Q,0.000105051,658,0.246165357,0.5679983,0.708914519,0.018604534,421,756.5075988,TRUE
180,lkgbVxhyOzMm1QIPLJipPA,0.000197858,719,0.268986158,0.576077586,0.6332379,0.021795289,421,805.3518776,TRUE
181,SCrMkGR1AWgfnpI09wUJcg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
182,ydLlFhNXl-JMSdYnNnL8Vg,0.004311749,1702,0.636737748,0.732328767,0.341927849,0.044978463,507,674.1915394,TRUE
183,BMtVLAH823YEJ6aBIYFrOw,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
184,tllFPy7SkAuI9HtXd-H54Q,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
185,H18T7kuEvsOJKvNQNEWctw,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,TRUE
186,72XWQHDdhbliqkNPa4d1hQ,9.22E-05,535,0.200149645,0.552386857,0.763757919,0.015749017,421,798.4336449,TRUE
187,vW_krCghxf4GYPRfkgZ06A,0.002637816,1553,0.580995137,0.703421053,0.383671278,0.043246524,507,710.9903413,TRUE
188,v7PbHI6xdeYXQMsDXNkx0g,0.00011121,643,0.240553685,0.566673733,0.699083831,0.019159675,421,792.81493,TRUE
189,EcFueWZxStFir5mzzY6p-A,0.000602862,791,0.295922185,0.584901532,0.51426331,0.022032619,421,746.2642225,TRUE
190,Fwg93GYqA7LcWMpQG98yoQ,0.000105051,658,0.246165357,0.5679983,0.708914519,0.018604534,421,756.5075988,FALSE
191,3u1aPxv9E2DdVISwrFx-UQ,1.41E-06,424,0.15862327,0.539019964,0.990632945,0.011734535,421,757.9669811,TRUE
192,2KAqoOuTf5qYipUrV5xHww,0.000448399,771,0.288439955,0.582099303,0.583778867,0.022781859,421,784.2178988,TRUE
193,T-8IGBm-o72Ld9B9yt52ww,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
194,Tk9moxS5qjOD-xxg2N-BAQ,0.002455788,1329,0.497194164,0.66442953,0.385215807,0.035797397,421,701.3333333,TRUE
195,enq8zXgocQTuy39HWiFSJg,0.000181136,506,0.189300412,0.548983364,0.771557156,0.013999219,421,751.3735178,TRUE
196,ljngU_gjU4I8G0Scn1Yu_A,0.000762289,1111,0.41563786,0.630127298,0.48145247,0.032371273,421,761.5463546,TRUE
197,ijJyVw-8eGclxriQCshOZg,0,421,0.157500935,0.538477035,1,0.011609328,421,755.567696,FALSE
198,GpzIOURsWrudu_-cvWraeA,9.90E-05,513,0.191919192,0.549321825,0.775584795,0.014227732,421,754.2475634,TRUE
199,GtTIjbZRL4PAjA_79miyMQ,0.000740154,1205,0.45080434,0.6447178,0.499429288,0.037103104,507,787.813278,TRUE
200,FO9DORmsYE4YlxmwLY26qg,0.000105051,658,0.246165357,0.5679983,0.708914519,0.018604534,421,756.5075988,FALSE
201,NhyBdZt2vf80V-z6q9-FWQ,0.000105051,658,0.246165357,0.5679983,0.708914519,0.018604534,421,756.5075988,TRUE
202,uEhkWNsb06nujbzchgwffw,0.000482256,818,0.306023195,0.588896233,0.551624555,0.024037089,421,779.8740831,TRUE
203,uMBCcLwMNLknpzTvTe9Bfw,0.000332944,764,0.285821175,0.58083442,0.59454276,0.022749474,421,791.6479058,TRUE
