,attributes.Ages Allowed,attributes.Ambience.divey,attributes.Ambience.hipster,attributes.Ambience.touristy,attributes.Attire,attributes.By Appointment Only,attributes.Delivery,attributes.Dietary Restrictions.vegan,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Good For Dancing,attributes.Good For.breakfast,attributes.Good For.dessert,attributes.Good For.latenight,attributes.Good for Kids,attributes.Hair Types Specialized In.kids,attributes.Hair Types Specialized In.perms,attributes.Has TV,attributes.Music.jukebox,attributes.Music.karaoke,attributes.Music.live,attributes.Music.video,attributes.Outdoor Seating,attributes.Parking.garage,attributes.Parking.street,attributes.Parking.valet,attributes.Waiter Service,attributes.Wi-Fi,stars,lat_zscore,business_id
14,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1,2,2,4.0,0.6792156046504763,L5cQjBQu6qnV_grmvk-drg
15,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4.0,0.7560977966756928,tAoUsufHhcTRZEBTwmC68g
16,0,1,1,1,1,0,2,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,2,1,2,1,2,1,3.5,0.7576097945347858,QopG-46G0EIeePT8q-4JtQ
17,0,1,1,1,1,0,1,0,0,0,0,2,1,1,2,0,0,1,0,0,0,0,2,1,1,1,2,1,4.0,0.7023140852190254,8RXIwWR34JunHKd00UU4wA
18,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,1,1,2,1,0,0,3.0,0.6732880378222279,m9D6h0NRuVSQkFpyLZQcpQ
19,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,2,4.0,0.668510451666596,tHLEoHBZtjH1G_ONnKwRNg
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,4.0,0.6441395490767248,vW_krCghxf4GYPRfkgZ06A
21,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,4.0,0.7404083531563168,NkyjMfpdpYBKIarzVqY6yw
22,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,2,0,4.0,0.6607393476257162,FfCUl9Bqt3QrL0xtkPDQXg
23,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,2,1,1,1,1,1,1,2,1,0,0,3.5,0.7583762005292851,KqgeyLdYbfsd9veyR6UGtw
24,0,1,1,1,1,0,1,0,0,0,1,1,1,1,2,0,0,2,0,0,0,0,2,1,1,1,2,2,3.5,0.674051470369628,Nq_BMV7kyx9_C3w0Jip6CA
25,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1,1,0,1,3.5,0.6908380660700235,zBG2vQ0A6F5HQkv_aeWfAQ
26,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,2,0,0,0,0,1,1,1,1,2,1,4.0,0.7250496283191126,zpsDyx9wh7LYjtBLTpu_-w
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.7175247539472467,y8ZHR3cH2Dm15gjwk3P87Q
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.7124000178406868,-F1ktE7JM6vpIoF16CAyjQ
29,0,1,1,1,1,0,1,0,1,1,1,1,1,2,1,0,0,1,1,1,1,1,2,1,2,1,2,1,4.0,0.6826001308316686,QPsNlmETw14k-_RqX-RULw
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,1,1,0,0,3.0,0.6747509738039469,pM4RA9OXTsJn7cR9ilsmQA
31,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,2,2,4.0,0.6826663442954357,rkk2gLhqB3P5lwaGeBiDqQ
32,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,5.0,0.6663472688888228,AYobEbZ5JZ3WuEQaQnRXvQ
33,0,1,1,1,1,0,1,0,0,0,0,2,1,1,2,0,0,1,0,0,0,0,1,1,2,1,2,1,4.0,0.7638644405459503,NLjG1EDhI2Aa71ZoLFqbQQ
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,3.5,0.702366329428189,Rza-FztnKi8YfcSkn1KxgQ
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1.5,0.8184264517855664,yH9ir4281i2RHsXtfzghvg
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,5.0,0.7620967262347438,kRMmce-qdD06nm4ESno_3g
37,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,1,1,0,0,3.5,0.7421486128869144,8uMP4kv2Je6rM9ZNz0apGw
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.6702008563527486,AzCkY5u4WRGyj33XIWK5FA
39,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.7592355267461749,71Jz93r-PIkXpAP9Od_YwA
40,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,2,1,1,1,1,0,0,3.5,0.6952372810799485,VxbK-VANsEOzqxTh_GzvzQ
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4.0,0.7027541553923438,POabgnQCv-GgefKBD2BZoQ
42,0,1,1,1,2,0,2,0,1,0,0,1,1,1,1,0,0,2,0,0,0,0,2,1,1,1,0,1,4.5,0.7579008013439986,Mpn6AsGRp_3q00Mzjt-pVA
43,0,0,0,1,2,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,4.0,0.7558933721863702,r3QvCj1tsgASA90GBU3eVg
44,0,0,0,0,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,0,2,4.0,0.6567742558948584,nqZXFkRTH_vsGvOzRVWI8g
45,0,1,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,2,2,3.5,0.7114685855312064,u-JyVztsrx2f9sZKm5FvWQ
46,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,0,0,3.5,0.6946463084654095,2Yd7GEhU7uqzraztlLpWKQ
47,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,0,4.5,0.6951294936219564,-rwVxBOV0VNXB12of1N6hg
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,0.7225037911451019,BMrC7D5ApOsxPGY_oqn7-w
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4.5,0.7664833040944313,XbTQWKfOaFmg9Q8p9q3iSQ
50,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,0,0,4.0,0.6865461330320387,xFz5u2Tgv1RYmqYZ9kUFFQ
51,0,0,0,0,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,2,1,2,2,4.0,0.6374483363563469,KSaSzOVyWSo4Ma0UkBd56A
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2.5,0.7033659421367353,5v2WUEmIPU8jTmOQ9xhcGA
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.8931201867324818,VekKmagfcsfq0UOeX_7RPg
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3.5,0.7048073206268137,tw9LsOgI02DYT4L9Sr_quA
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.7151095715263002,9mW3X0VkQ61QWlJWWSGs7g
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.5,0.6744343016859572,e8wCD4XNCcxSeTSrAU6xLA
57,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4.0,0.6576789271802879,UmOeVhicD3cTepEDC6p4jw
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.7521527757128996,tL5_K1Mxy_oddbUEjd-voQ
59,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,3.5,0.7487482419494124,Rphay8MhjPIGMcSVVucB8w
60,0,1,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,2,1,2,2,4.5,0.7252668668787643,WN2QUFWxIiTtUgW-oczrQg
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,4.5,0.696277244209209,jNftD8BQ41UX4AImsXSsjA
62,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,1,1,1,2,0,4.5,0.6715968897743401,3JPBGbZ8cUreQqdEZmMqvQ
63,0,0,0,1,1,0,1,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,2,2,4.0,0.706555279355376,IImme8H_HNUNNbPeTQwT_Q
64,0,0,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,1,1,2,0,3.5,0.7287495168148631,Yly8lmMDbqqznWJxpez2hA
65,0,1,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,1,1,0,2,4.0,0.7038669679759829,01lSqf42wyNaiEmNgIrutg
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.6902017483868921,-UwZsTF1q2xaSm4bI_Azqw
67,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,1,2,1,2,1,0,0,3.0,0.7424615681960168,lSIyCvaWZl-Ex9y3r2nDPg
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.6687193363265937,j_Osmk22IY88-f8Bzr3m-g
69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,1,0,1,4.0,0.6659540305075673,EDEZNi_8fgQnQK7U98pCeA
70,0,0,0,0,1,0,1,2,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,2,1,2,2,4.5,0.6579547144004131,jgUtE_lFxqhMcG4ubWCQLg
71,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.5,0.6427633730784157,7jqK8QfIj5PN2HFKgDKBfw
72,0,1,1,1,2,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,2,1,2,2,4.0,0.7246345180042237,RTKYidJ6nmw0chY3K3zh2g
73,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,4.0,0.8898166869852305,MQo3FnweaE37sEDoG7hU5w
74,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,1,1,0,0,4.5,0.6750612418602194,0FlLe1SZKZqf5Tg9VK1-gQ
75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,4.0,0.5820269988998409,-Ub3g_uP6XqUtZwy5k8jPg
76,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,0,0,4.0,0.7005590080580565,LrQlUZI63FLf6SjiiJbu5A
77,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,4.5,0.7433201510511187,16_M0bA14jGcOE0hLmZK_w
78,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,1,1,2,0,0,0,0,0,3.0,0.6794884176801272,kzy5m93T7mbZJe9heq4PUA
79,0,0,1,1,2,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,2,2,3.5,0.7468050310725287,9lF6-JrS2PvTkw9KVxn3Yg
80,0,1,1,1,2,1,1,0,1,0,0,1,1,1,2,0,0,2,0,0,0,0,2,1,1,1,2,1,4.0,0.6781191460260146,DIlh3Ta7-7tfjKL1apaYHw
81,0,1,1,1,1,0,2,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0,2,1,2,1,2,1,4.0,0.7759462995450925,mV2qIJvhYuHTI0_to25nrQ
82,0,0,1,1,2,0,1,0,0,0,0,1,1,1,2,0,0,2,0,0,0,0,2,1,1,1,2,1,4.0,0.9047902151289129,VErgzjUEsusmil_DR4IYbw
83,0,0,0,0,2,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,2,1,2,2,3.0,0.6760273259789913,5pA0bK3x-8TWzWzbZRUJew
84,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,2,0,4.0,0.75785882073086,nEM1MVODyaZCWOg7Cya4EQ
85,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,1,1,1,0,0,3.0,0.6964251732032775,ZRYZBtiRjjYqA8ohMoRn-Q
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3.5,0.7336690850703124,OsupIEGpLkAXW9xIg90Ksg
87,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,2,0,3.5,0.761021081740082,Qey0hC4usZnGb2aP3Q-WpA
88,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,2,0,1,1,1,1,2,1,2,0,2.5,0.6643840504296442,Z9NI8AJnZULUD_kQBXMKwg
89,0,1,1,1,2,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,2,1,2,2,3.5,0.6886659629508471,4dIzmqGAhFIcuHfI8CySig
90,0,0,0,1,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,4.0,0.7179514436085924,XyYSroXLSCtQIK0taL9-fw
91,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,2,0,0,0,0,1,1,2,1,2,1,3.0,0.6840868543902867,dXPmE2ncXbQTPBVNRODuNw
92,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,2,1,1,1,1,1,3.5,0.7488393059974315,vt-Oa0dmsDU2IYeX-Zg6fw
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,4.0,0.9327639885819945,HSYVkG67Juu-G693xz2ViQ
94,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,4.0,0.7151222086765376,uKZL5Rf1vVSabl9BUd_8tg
95,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,4.0,0.7628823652285264,YYXSgf884lPO658lkh5QjQ
96,0,0,0,0,1,0,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,4.0,0.6740744224079236,5dUDkaxm5FdQanoNkP86KQ
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.7173299931610625,sdG1cbs043pisfKmxhepnw
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.7121941066278412,IpXoy28ZBwwaFdoVasrTJA
99,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,0,4.0,0.6926585590675439,2wXPLsK6VmbAzxlDhHEedA
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.6646219261990569,T2lP9Ayiua9MOQ-h1F_4yA
101,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.5,0.7695875828848233,LES5wvNMruP8yGMBbl3NSw
102,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,2,2,1,1,1,0,0,3.0,0.6471722517915318,HvGG8i4asaJcwJraKrtAuQ
103,0,1,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,2,0,3.0,0.7024664743837691,uwV0CKF9A5hBjTKLoplphg
104,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,4.5,0.7559459680056978,4VqkjcY6OUJt7atNyv-1xw
105,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,2,1,2,2,4.0,0.7259925686123132,S-B0LVP2shyyX5Fkhmx30A
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,0,0,3.0,0.637882459635467,eGSVt9Mi1a0zuzZdASWsuQ
107,0,1,1,1,2,2,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,3.5,0.7091514294847256,R46yVmH-EBfEqFD8vJI1Gw
108,0,1,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,2,1,2,2,4.0,0.6677972540215812,POTGUAjI5Ag9zRrDNgSVOA
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3.5,0.7091180755850234,p9fC1_RrioeumENbHNJxQA
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5,0.67515684933544,tH-TyKlo4NpmL8p0wguhSw
111,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,1,0,2,4.0,0.707407600130859,3mBSFFJjmoBbMGQLOAafWA
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.7022620498944465,ZeBIKWiVmIEeh893l0PAhA
113,0,0,0,0,2,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,2,1,1,1,1,1,2,0,3.5,0.7314040617287456,JyDhnweQ7Tv1m337tDbLEQ
114,0,1,1,1,1,0,2,2,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,2,1,2,3,3.5,0.6508020873598583,nOel1jHjp5CW98mPOdt9Yw
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,3.0,0.6431625583539223,9O8V7j5otIRfNQ1SZy7vyg
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.6648010763878516,YALY5WpYfQxSrBd3x6r8ZQ
117,0,1,1,1,2,0,1,0,0,0,1,1,1,1,2,0,0,2,0,0,0,0,2,1,2,1,2,1,4.0,0.7269126698581653,gOGshF3w0eParpAPLTyDBA
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.0,0.8907711635098748,buYJZhGLwn0rD-4tS1CGrg
119,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.69092875620705,JOjshv2L5fPK8M1R4Fm2gg
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.5,0.6898055365585374,HKQe1IV-mwKqROcu0UE9WQ
121,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2,1,2,1,2,2,4.0,0.6736768160328083,PMLfbdCLXnDEWQJH2D59DA
122,0,0,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,2,1,2,1,4.0,0.8898166869852305,_KhWxgstswdzKPfghqjoKw
123,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,2,1,2,0,4.0,0.7277905801195437,dafjd6glKjjjUdZ-mphFrQ
124,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,4.0,0.6393457316166852,y7kvhDT_VfcpcINliAuSBw
125,0,0,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,2,0,0,0,2,2,4.5,0.7294557105051684,2ftNAAakpz-8nYLkUnx6xQ
126,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3.0,0.7259232553299075,jDdvx9jM96Z9NHfH1hPOCg
127,0,1,1,1,1,0,2,0,0,1,0,1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,2,2,4.0,0.753966578454381,7MR_z-tvbr9Cu81J66OJPw
128,0,0,0,0,2,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,2,2,4.0,0.7269230769230915,fx4coO0OyW7Qe8vdLnlLiA
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4.0,0.7646583509262357,H_078vQVM4cNA_hZSme5gA
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.7009210252445859,eGOmHm6Yrqr2Dt0q-unmqA
131,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,1,2,1,2,1,4.0,0.7183201510511081,f9vH4Xm_Kco27qT13HkZ3g
132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,4.0,0.6523497665844056,hw7_JvMCU8vdJdZ72urABA
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.684420623829189,Z80yjMSExp8s7sSXWk5hRQ
134,0,1,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,2,1,2,2,4.5,0.7543641796259237,attIWW_riwwKP1CRWgdCbg
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2.0,0.7239957182361303,LeLJau4sS28hWgxwaiKrNg
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3.0,0.6700618477000304,igGKppVRUIyuk1osdDSZuQ
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.856475424459601,9u-tq8HAtmT76htKuJbx2g
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,3.5,0.6088103572596906,7hYru_joh_85j3CKL7CYxw
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.7060732657369846,IO7g05fTkUMHrB3L1TP_EQ
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.8878240254526906,FZxkabVtssLntuauN2jMUg
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3.5,0.7430636912372701,YspXC-yvNkG-HS53_eEd5g
